lon,lat,vs30,z1pt0,z2pt5,vs30measured
90.42210,23.72970,2.630000E+02,4.835426E+02,2.043075E+00,0
90.44350,23.72830,2.610000E+02,4.846641E+02,2.060995E+00,0
90.38080,23.73520,2.230000E+02,5.020622E+02,2.467475E+00,0
90.41360,23.73430,2.290000E+02,4.997842E+02,2.393656E+00,0
90.40520,23.74350,2.280000E+02,5.001754E+02,2.405670E+00,0
90.45010,23.74130,2.360000E+02,4.969137E+02,2.312609E+00,0
90.42050,23.74370,2.390000E+02,4.956111E+02,2.279431E+00,0
90.39880,23.73220,2.210000E+02,5.027852E+02,2.493038E+00,0
90.43010,23.69720,2.190000E+02,5.034903E+02,2.519101E+00,0
90.37810,23.75540,2.360000E+02,4.969137E+02,2.312609E+00,0
90.41560,23.70690,2.450000E+02,4.928723E+02,2.215683E+00,0
90.41880,23.71790,2.300000E+02,4.993884E+02,2.381754E+00,0
90.35270,23.77000,3.140000E+02,4.473832E+02,1.668115E+00,0
90.45230,23.78680,2.230000E+02,5.020622E+02,2.467475E+00,0
90.40320,23.84560,2.280000E+02,5.001754E+02,2.405670E+00,0
90.40540,23.78550,2.300000E+02,4.993884E+02,2.381754E+00,0
90.39680,23.80690,2.500000E+02,4.904508E+02,2.165061E+00,0
90.42190,23.86000,2.380000E+02,4.960502E+02,2.290391E+00,0
90.34570,23.78480,2.800000E+02,4.731220E+02,1.901800E+00,0
90.36610,23.74930,3.250000E+02,4.376572E+02,1.603685E+00,0
90.38850,23.81000,2.550000E+02,4.878998E+02,2.116565E+00,0
90.43930,23.81280,2.400000E+02,4.951671E+02,2.268569E+00,0
90.41630,23.79280,2.320000E+02,4.985826E+02,2.358280E+00,0
90.41710,23.76520,2.280000E+02,5.001754E+02,2.405670E+00,0
90.38000,23.79830,2.390000E+02,4.956111E+02,2.279431E+00,0
90.45330,23.83190,2.320000E+02,4.985826E+02,2.358280E+00,0
90.36320,23.79450,2.310000E+02,4.989878E+02,2.369963E+00,0
90.35340,23.75590,3.040000E+02,4.556364E+02,1.731036E+00,0
90.37110,23.82850,2.940000E+02,4.633210E+02,1.798557E+00,0
90.40640,23.75360,2.540000E+02,4.884205E+02,2.126101E+00,0
90.42280,23.75850,2.450000E+02,4.928723E+02,2.215683E+00,0
90.35410,23.82460,3.160000E+02,4.456649E+02,1.656043E+00,0
90.34620,23.81250,2.850000E+02,4.697495E+02,1.863679E+00,0
90.37690,23.76880,2.380000E+02,4.960502E+02,2.290391E+00,0
90.39260,23.76370,2.200000E+02,5.031400E+02,2.506006E+00,0
90.40270,23.76440,2.470000E+02,4.919191E+02,2.195171E+00,0
90.36700,23.86450,2.260000E+02,5.009439E+02,2.430041E+00,0
90.39130,23.87360,2.620000E+02,4.841060E+02,2.051998E+00,0
90.40330,23.86880,2.100000E+02,5.064494E+02,2.642985E+00,0
90.44560,23.87490,2.320000E+02,4.985826E+02,2.358280E+00,0
89.67030,23.29510,2.660000E+02,4.818196E+02,2.016736E+00,0
90.01000,23.38910,1.870000E+02,5.125439E+02,3.018052E+00,0
89.69240,23.39860,2.380000E+02,4.960502E+02,2.290391E+00,0
89.98010,23.59000,2.500000E+02,4.904508E+02,2.165061E+00,0
89.81270,23.59740,2.330000E+02,4.981725E+02,2.346705E+00,0
89.61110,23.54110,2.190000E+02,5.034903E+02,2.519101E+00,0
89.89560,23.43430,2.320000E+02,4.985826E+02,2.358280E+00,0
90.05090,23.49840,2.260000E+02,5.009439E+02,2.430041E+00,0
89.80070,23.41800,2.090000E+02,5.067571E+02,2.657457E+00,0
89.84760,23.06050,2.340000E+02,4.977577E+02,2.335235E+00,0
89.79510,23.19130,2.350000E+02,4.973381E+02,2.323871E+00,0
90.02010,23.01050,2.230000E+02,5.020622E+02,2.467475E+00,0
89.91570,23.26610,2.260000E+02,5.009439E+02,2.430041E+00,0
89.90220,22.92350,2.200000E+02,5.031400E+02,2.506006E+00,0
90.42470,24.08480,2.700000E+02,4.794456E+02,1.982592E+00,0
90.26550,24.10220,2.800000E+02,4.731220E+02,1.901800E+00,0
90.55520,23.96480,2.290000E+02,4.997842E+02,2.393656E+00,0
90.60040,24.14770,2.210000E+02,5.027852E+02,2.493038E+00,0
90.44360,24.20580,2.090000E+02,5.067571E+02,2.657457E+00,0
90.36620,23.98690,2.240000E+02,5.016940E+02,2.454878E+00,0
90.37810,23.94730,2.400000E+02,4.951671E+02,2.268569E+00,0
90.29540,23.98160,2.170000E+02,5.041779E+02,2.545679E+00,0
90.32560,24.01660,2.650000E+02,4.823993E+02,2.025444E+00,0
90.45320,23.92830,2.170000E+02,5.041779E+02,2.545679E+00,0
90.37160,23.90660,2.440000E+02,4.933413E+02,2.226074E+00,0
90.41120,23.90530,2.330000E+02,4.981725E+02,2.346705E+00,0
90.40250,24.02930,2.220000E+02,5.024259E+02,2.480195E+00,0
91.12240,24.32350,1.830000E+02,5.134084E+02,3.093638E+00,0
90.94840,24.22660,2.100000E+02,5.064494E+02,2.642985E+00,0
90.98120,24.10220,1.880000E+02,5.123194E+02,2.999694E+00,0
90.66330,24.44830,2.190000E+02,5.034903E+02,2.519101E+00,0
91.08400,24.55090,1.830000E+02,5.134084E+02,3.093638E+00,0
90.89630,24.45430,1.800000E+02,5.140219E+02,3.152694E+00,0
90.82080,24.29520,2.260000E+02,5.009439E+02,2.430041E+00,0
90.78320,24.42590,2.100000E+02,5.064494E+02,2.642985E+00,0
90.88660,24.15310,2.210000E+02,5.027852E+02,2.493038E+00,0
91.11090,24.43310,1.900000E+02,5.118598E+02,2.963599E+00,0
90.96090,24.33820,2.030000E+02,5.085185E+02,2.747503E+00,0
90.69360,24.32140,2.170000E+02,5.041779E+02,2.545679E+00,0
90.89050,24.55080,2.170000E+02,5.041779E+02,2.545679E+00,0
89.79860,23.95610,2.100000E+02,5.064494E+02,2.642985E+00,0
89.90380,23.87440,1.880000E+02,5.123194E+02,2.999694E+00,0
89.94580,23.72060,2.070000E+02,5.073603E+02,2.686851E+00,0
90.02990,23.83660,2.190000E+02,5.034903E+02,2.519101E+00,0
90.00100,23.95840,2.170000E+02,5.041779E+02,2.545679E+00,0
89.81080,23.83830,2.460000E+02,4.923983E+02,2.205382E+00,0
90.15400,23.78330,2.250000E+02,5.013212E+02,2.442400E+00,0
90.62900,23.54720,2.130000E+02,5.055013E+02,2.600443E+00,0
90.34350,23.46910,2.980000E+02,4.603156E+02,1.770966E+00,0
90.52600,23.48740,2.130000E+02,5.055013E+02,2.600443E+00,0
90.35800,23.59760,1.920000E+02,5.113861E+02,2.928310E+00,0
90.26350,23.54630,2.250000E+02,5.013212E+02,2.442400E+00,0
90.45270,23.47470,2.040000E+02,5.082349E+02,2.732100E+00,0
90.16060,23.09200,2.240000E+02,5.016940E+02,2.454878E+00,0
90.28060,23.06700,2.270000E+02,5.005620E+02,2.417798E+00,0
90.17830,23.19120,2.180000E+02,5.038363E+02,2.532324E+00,0
90.03850,23.20200,2.570000E+02,4.868425E+02,2.097732E+00,0
90.17590,23.37310,2.170000E+02,5.041779E+02,2.545679E+00,0
90.66930,23.76430,2.050000E+02,5.079474E+02,2.716859E+00,0
90.59430,23.67460,2.020000E+02,5.087982E+02,2.763068E+00,0
90.54550,23.64090,2.040000E+02,5.082349E+02,2.732100E+00,0
90.46960,23.61270,2.760000E+02,4.757186E+02,1.933364E+00,0
90.54000,23.81240,2.110000E+02,5.061375E+02,2.628660E+00,0
90.52250,23.63110,2.260000E+02,5.009439E+02,2.430041E+00,0
90.50490,23.66220,2.340000E+02,4.977577E+02,2.335235E+00,0
90.84870,24.10140,2.150000E+02,5.048482E+02,2.572788E+00,0
90.73070,24.16070,2.230000E+02,5.020622E+02,2.467475E+00,0
90.70800,23.86910,2.030000E+02,5.085185E+02,2.747503E+00,0
90.64990,23.95630,1.990000E+02,5.096140E+02,2.810772E+00,0
90.87200,23.96190,2.170000E+02,5.041779E+02,2.545679E+00,0
90.74700,24.02760,2.360000E+02,4.969137E+02,2.312609E+00,0
89.55170,23.65060,2.440000E+02,4.933413E+02,2.226074E+00,0
89.76510,23.75570,2.080000E+02,5.070608E+02,2.672078E+00,0
89.47520,23.74180,2.360000E+02,4.969137E+02,2.312609E+00,0
89.38770,23.78890,2.120000E+02,5.058215E+02,2.614480E+00,0
89.65600,23.71710,2.210000E+02,5.027852E+02,2.493038E+00,0
90.51350,23.24770,2.230000E+02,5.020622E+02,2.467475E+00,0
90.42260,23.13980,2.090000E+02,5.067571E+02,2.657457E+00,0
90.45690,23.08160,2.290000E+02,4.997842E+02,2.393656E+00,0
90.42760,23.30570,2.450000E+02,4.928723E+02,2.215683E+00,0
90.31670,23.21880,2.290000E+02,4.997842E+02,2.393656E+00,0
90.32360,23.36550,2.110000E+02,5.061375E+02,2.628660E+00,0
90.04020,24.23380,2.280000E+02,5.001754E+02,2.405670E+00,0
89.81580,24.47720,2.210000E+02,5.027852E+02,2.493038E+00,0
89.93890,24.14750,2.340000E+02,4.977577E+02,2.335235E+00,0
89.93350,24.68750,2.160000E+02,5.045152E+02,2.559166E+00,0
90.05300,24.47370,2.280000E+02,5.001754E+02,2.405670E+00,0
89.90180,24.57240,2.160000E+02,5.045152E+02,2.559166E+00,0
89.94670,24.35960,2.050000E+02,5.079474E+02,2.716859E+00,0
90.06220,24.65010,2.620000E+02,4.841060E+02,2.051998E+00,0
90.10720,24.11800,2.040000E+02,5.082349E+02,2.732100E+00,0
89.87540,24.05060,2.730000E+02,4.776071E+02,1.957688E+00,0
90.17480,24.30620,2.330000E+02,4.981725E+02,2.346705E+00,0
89.86700,24.25960,2.270000E+02,5.005620E+02,2.417798E+00,0
89.76260,22.67610,2.450000E+02,4.928723E+02,2.215683E+00,0
89.86520,22.81110,2.090000E+02,5.067571E+02,2.657457E+00,0
89.66610,22.74260,2.210000E+02,5.027852E+02,2.493038E+00,0
89.87390,22.65210,2.320000E+02,4.985826E+02,2.358280E+00,0
89.77290,22.88410,2.540000E+02,4.884205E+02,2.126101E+00,0
89.65960,22.11650,2.270000E+02,5.005620E+02,2.417798E+00,0
89.83420,22.48330,2.400000E+02,4.951671E+02,2.268569E+00,0
89.65130,22.59030,2.200000E+02,5.031400E+02,2.506006E+00,0
89.82170,22.06300,3.800000E+02,3.798113E+02,1.341038E+00,0
88.90820,23.72950,2.300000E+02,4.993884E+02,2.381754E+00,0
88.88540,23.58940,2.230000E+02,5.020622E+02,2.467475E+00,0
88.73970,23.59200,2.210000E+02,5.027852E+02,2.493038E+00,0
88.85020,23.44290,2.190000E+02,5.034903E+02,2.519101E+00,0
89.41960,23.01770,2.290000E+02,4.997842E+02,2.393656E+00,0
89.33530,23.24250,2.240000E+02,5.016940E+02,2.454878E+00,0
